cnpj,erro,razao_social,nome_fantasia,situacao_cadastral,descricao_situacao_cadastral,data_situacao_cadastral,data_inicio_atividade,telefone_1,telefone_2,fax,email,logradouro,numero,complemento,bairro,municipio,uf,cep,codigo_municipio_ibge,cnae_fiscal,cnae_fiscal_descricao,natureza_juridica,porte,capital_social,cnaes_secundarios_resumo,telefone_maps,maps_url,whatsapp_maps,query_usada
38309054000106,,NATUREZA RAIZ COSMETICOS NATURAIS E VEGANOS LTDA,NATUREZA RAIZ COSMETICOS NATURAIS,2,ATIVA,2020-09-01,2020-09-01,6599943226,,,,ARCHIMEDES PEREIRA LIMA,870,APT 501 TORRE 3,JARDIM LEBLON,CUIABA,MT,78060040,5103403,4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Sociedade Empresária Limitada,MICRO EMPRESA,50000,"2063100:Fabricação de cosméticos, produtos de perfumaria e de higien | 3299099:Fabricação de produtos diversos não especificados anteriorme | 4646001:Comércio atacadista de cosméticos e produtos de perfumaria | 4729699:Comércio varejista de produtos alimentícios em geral ou espe | 4789002:Comércio varejista de plantas e flores naturais | 7020400:Atividades de consultoria em gestão empresarial, exceto cons | 7112000:Serviços de engenharia | 7210000:Pesquisa e desenvolvimento experimental em ciências físicas  | 7220700:Pesquisa e desenvolvimento experimental em ciências sociais  | 7490199:Outras atividades profissionais, científicas e técnicas não  | 8230001:Serviços de organização de feiras, congressos, exposições e  | 8599604:Treinamento em desenvolvimento profissional e gerencial",,,,
42917146000146,,NECTAR FARMACEUTICA LTDA,PHARMANECTAR,2,ATIVA,2004-08-28,1992-09-08,,,,,PERNAMBUCO,1070,,FUNCIONARIOS,BELO HORIZONTE,MG,30130151,3106200,4623199,Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,620000,"1099699:Fabricação de outros produtos alimentícios não especificados | 159801:Apicultura | 4771702:Comércio varejista de produtos farmacêuticos, com manipulaçã | 4729699:Comércio varejista de produtos alimentícios em geral ou espe | 4772500:Comércio varejista de cosméticos, produtos de perfumaria e d | 4773300:Comércio varejista de artigos médicos e ortopédicos | 4645101:Comércio atacadista de instrumentos e materiais para uso méd | 4783101:Comércio varejista de artigos de joalheria | 7490199:Outras atividades profissionais, científicas e técnicas não ",,,,NECTAR FARMACEUTICA LTDA BELO HORIZONTE MG
10509029000157,,O P DA SILVA LTDA,FLOR DA AURORA,2,ATIVA,2008-11-24,2008-11-24,8834421005,,8834421005,,JOSE ALVES SALES,143,,SAO JOSE,MADALENA,CE,63860000,2307635,161099,Atividades de apoio à agricultura não especificadas anteriormente,Sociedade Empresária Limitada,MICRO EMPRESA,20000,"159801:Apicultura | 3299099:Fabricação de produtos diversos não especificados anteriorme | 4759899:Comércio varejista de outros artigos de uso pessoal e domést | 4772500:Comércio varejista de cosméticos, produtos de perfumaria e d | 8599604:Treinamento em desenvolvimento profissional e gerencial | 8599605:Cursos preparatórios para concursos",,,,
58429448000105,,PETISCO NATURAL PET FOOD - LTDA,,2,ATIVA,2024-12-11,2024-12-11,1338224311,,,,ANTONIO PAULINO DE ALMEIDA,505,SALA 01,VILA CABANA,CANANEIA,SP,11990000,3509908,4623109,Comércio atacadista de alimentos para animais,Sociedade Empresária Limitada,MICRO EMPRESA,20000,1066000:Fabricação de alimentos para animais | 4789004:Comércio varejista de animais vivos e de artigos e alimentos,,,,
22455311000188,,RASMUSSEN PROFESSIONAL LTDA,RASMUSSEN PROFESSIONAL,2,ATIVA,2015-05-15,2015-05-15,6281239328,,,,G,SN,QUADRA001 LOTE 012 SALA 1,VILA STO ANTONIO 2°ACRESCIMO(CONJ. PROGRESSO),APARECIDA DE GOIANIA,GO,74911725,5201405,4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Sociedade Empresária Limitada,MICRO EMPRESA,20000,"2063100:Fabricação de cosméticos, produtos de perfumaria e de higien | 4646001:Comércio atacadista de cosméticos e produtos de perfumaria | 4781400:Comércio varejista de artigos do vestuário e acessórios",,,,
14265814000162,,S COSMETICOS DO BEM INDUSTRIA E COMERCIO LTDA,S DISTRIBUIDORA DE PRODUTOS COSMETICOS,2,ATIVA,2011-08-29,2011-08-29,1991110339,,,,JOAO SCARPARO NETTO,170,BLOCO J CONJ 114,LOTEAMENTO CENTER SANTA GENEBRA,CAMPINAS,SP,13080655,3509502,7210000,Pesquisa e desenvolvimento experimental em ciências físicas e naturais,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,40000,"2063100:Fabricação de cosméticos, produtos de perfumaria e de higien | 4646001:Comércio atacadista de cosméticos e produtos de perfumaria | 4772500:Comércio varejista de cosméticos, produtos de perfumaria e d | 8599604:Treinamento em desenvolvimento profissional e gerencial",,,,
37256829000160,,SHU DOG LTDA,SHUDOG,2,ATIVA,2020-05-28,2020-05-28,8399350001,,,,NILO PECANHA,1001,,JARDIM AMERICA,CABEDELO,PB,58102586,2503209,1529700,Fabricação de artefatos de couro não especificados anteriormente,Sociedade Empresária Limitada,MICRO EMPRESA,80000,"4759899:Comércio varejista de outros artigos de uso pessoal e domést | 4772500:Comércio varejista de cosméticos, produtos de perfumaria e d | 4781400:Comércio varejista de artigos do vestuário e acessórios | 4782202:Comércio varejista de artigos de viagem | 7410203:Design de produto | 8599604:Treinamento em desenvolvimento profissional e gerencial",,,,
52650099000140,"http_400: {""message"":""CNPJ 52.650.099/0001-40 inválido."",""type"":""bad_request"",""name"":""BadRequestError""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,THERMOLIFE ALIMENTOS ESPECIAIS LTDA Brasil | ALT:THERMOLIFE ALIMENTOS ESPECIAIS LTDA telefone
09033138000161,,VIA SOL MODA PRAIA - INDUSTRIA DE CONFECCOES LTDA,VIA SOL BEACHWEAR,2,ATIVA,2007-09-05,2007-09-05,8532171749,8532171749,8532312740,,FRECHEIRINHA,245,,PARQUELANDIA,FORTALEZA,CE,60455370,2304400,1412601,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",Sociedade Empresária Limitada,MICRO EMPRESA,20000,"1411801:Confecção de roupas íntimas | 1414200:Fabricação de acessórios do vestuário, exceto para segurança | 4642701:Comércio atacadista de artigos do vestuário e acessórios, ex | 4781400:Comércio varejista de artigos do vestuário e acessórios",,,,
52652911000105,,VITTA FRESH INDUSTRIA E COMERCIO DE BEBIDAS LTDA,VITTA FRESH,2,ATIVA,2023-10-24,2023-10-24,1281180063,,,,MUNICIPAL LUDGERO CARVALHO DE MOURA,S/N,,SANTA BARBARA,JAMBEIRO,SP,12270000,3524907,1122402,Fabricação de chá mate e outros chás prontos para consumo,Sociedade Empresária Limitada,MICRO EMPRESA,50000,"1122401:Fabricação de refrigerantes | 1122403:Fabricação de refrescos, xaropes e pós para refrescos, excet | 1122404:Fabricação de bebidas isotônicas | 4635401:Comércio atacadista de água mineral | 4635402:Comércio atacadista de cerveja, chope e refrigerante | 4635403:Comércio atacadista de bebidas com atividade de fracionament | 4635499:Comércio atacadista de bebidas não especificadas anteriormen | 4723700:Comércio varejista de bebidas | 5620102:Serviços de alimentação para eventos e recepções - bufê | 8211300:Serviços combinados de escritório e apoio administrativo | 8219999:Preparação de documentos e serviços especializados de apoio  | 8230001:Serviços de organização de feiras, congressos, exposições e  | 8292000:Envasamento e empacotamento sob contrato | 8599604:Treinamento em desenvolvimento profissional e gerencial",,,,
37444526000170,,VEGALOTUS COSMETICA REGENERATIVA LTDA,,2,ATIVA,2020-06-17,2020-06-17,5199209349,,,,INGA MIRIM,240,CASA 01,RIBEIRAO DA ILHA,FLORIANOPOLIS,SC,88064082,4205407,4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Sociedade Empresária Limitada,MICRO EMPRESA,20000,4789099:Comércio varejista de outros produtos não especificados ante,,,,
56924537000100,,AMABEE COSMETICOS LTDA,AMABEE COSMETICOS,2,ATIVA,2024-08-20,2024-08-20,9491625797,,,,AGUA BOA,S/N,SANTA LUZIA,ZONA RURAL,BREU BRANCO,PA,68488000,1501782,4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Sociedade Empresária Limitada,MICRO EMPRESA,150000,"159801:Apicultura | 2063100:Fabricação de cosméticos, produtos de perfumaria e de higien | 4618401:Representantes comerciais e agentes do comércio de medicamen | 4646001:Comércio atacadista de cosméticos e produtos de perfumaria | 4646002:Comércio atacadista de produtos de higiene pessoal | 7912100:Operadores turísticos | 7990200:Serviços de reservas e outros serviços de turismo não especi | 8599604:Treinamento em desenvolvimento profissional e gerencial",,,,
62045134000126,"http_400: {""message"":""CNPJ 62.045.134/0001-26 inválido."",""type"":""bad_request"",""name"":""BadRequestError""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,JESSICA CAROLINA TORRES BRACHO Brasil | ALT:JESSICA CAROLINA TORRES BRACHO telefone
