nome,telefone,telefone_limpo,possivel_whatsapp,website,categoria_google,segmento_busca,cidade,endereco,avaliacao,total_reviews,status_negocio,google_maps_url,fonte,consulta_origem
Sesi São José dos Campos,+55 12 3919-2000,551239192000,sim,saojosedoscampos.sesisp.org.br,Organização de serviço social,clube social,São José dos Campos,"Av. Cidade Jardim, 4389 - Bosque dos Eucaliptos, São José dos Campos - SP, 12232-000, Brasil","4,6",46,Fechado · Abre às 17:00,https://www.google.com/maps/place/Sesi+S%C3%A3o+Jos%C3%A9+dos+Campos/data=!4m7!3m6!1s0x94cc4ac1aa7cfe11:0xbd546b52e8f8f951!8m2!3d-23.2519012!4d-45.885259!16s%2Fg%2F1tj1t602!19sChIJEf58qsFKzJQRUfn46FJrVL0?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube social São José dos Campos - SP
Johnson Clube,+55 12 2170-4097,551221704097,sim,johnsonclube.com.br,Associação / organização,clube de campo,São José dos Campos,"Av. Dr. Sebastião Henrique da Cunha Pontes, 1400 - Chácaras Reunidas, São José dos Campos - SP, 12238-365, Brasil","4,6",46,Aberto · Fecha 22:00,https://www.google.com/maps/place/Johnson+Clube/data=!4m7!3m6!1s0x94cc4a62619022cd:0x7a22ad7ea8e7b545!8m2!3d-23.248119!4d-45.9310677!16s%2Fg%2F11b6hkm9tg!19sChIJzSKQYWJKzJQRRbXnqH6tIno?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
Clube de Campo Santa Rita AESJ,+55 12 3949-9494,551239499494,sim,aesj.com.br,Clube,clube de campo,São José dos Campos,"Clube de Campo Santa Rita - Tv. Lineu de Moura, S/N - Urbanova, São José dos Campos - SP, 12244-380, Brasil","4,6",46,Aberto · Fecha 00:00,https://www.google.com/maps/place/Clube+de+Campo+Santa+Rita+AESJ/data=!4m7!3m6!1s0x94cc35e74d5bb5f3:0xbe8ba65dcd72436d!8m2!3d-23.19104!4d-45.9220527!16s%2Fg%2F1yfjb5dkq!19sChIJ87VbTec1zJQRbUNyzV2mi74?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
Clube Recreativo Jequitibá,+55 12 3655-4873,551236554873,sim,instagram.com,Clube de campo,clube recreativo,São José dos Campos,"R. José de Noronha Ferraz, 454 - Vila Resende, Caçapava - SP, 12282-060, Brasil","4,6",46,Aberto · Fecha 22:00,https://www.google.com/maps/place/Clube+Recreativo+Jequitib%C3%A1/data=!4m7!3m6!1s0x94cc515e272e8a33:0x20adba5166b01b4a!8m2!3d-23.1037552!4d-45.6962144!16s%2Fg%2F1v76_sjt!19sChIJM4ouJ15RzJQRShuwZlG6rSA?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube recreativo São José dos Campos - SP
Thermas do Vale,+55 12 2136-8888,551221368888,sim,thermasdovale.com.br,Parque aquático,clube recreativo,São José dos Campos,"Av. Linneu de Moura, 205 - Jardim das Colinas, São José dos Campos - SP, 12244-380, Brasil","4,5",45,Fechado · Abre sex. às 09:00,https://www.google.com/maps/place/Thermas+do+Vale/data=!4m7!3m6!1s0x94cc35eddaaaf0dd:0x6da95a3efc983e4f!8m2!3d-23.1998695!4d-45.9143628!16s%2Fg%2F1jgm3840w!19sChIJ3fCq2u01zJQRTz6Y_D5aqW0?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube recreativo São José dos Campos - SP
Social Futebol Clube,+55 32 3371-5174,553233715174,sim,socialfc.com.br,Clube,clube social,São José dos Campos,"R. João de Deus Assunção, 200 - Jardim Paulo Campos, São João del Rei - MG, 36305-034, Brasil","4,5",45,Aberto · Fecha 00:00,https://www.google.com/maps/place/Social+Futebol+Clube/data=!4m7!3m6!1s0xa1c7d1406e48e9:0xeed6ddd18fd6cfa5!8m2!3d-21.1242379!4d-44.2426054!16s%2Fg%2F1tj6w162!19sChIJ6UhuQNHHoQARpc_Wj9Hd1u4?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube social São José dos Campos - SP
Ginásio Linneu de Moura,+55 12 3921-8669,551239218669,sim,aesj.com.br,Ginásio poliesportivo,clube de campo,São José dos Campos,"Tv. Maj. Cesar Leite, 20 - Centro, São José dos Campos - SP, 12245-800, Brasil","4,5",45,Aberto · Fecha 22:00,https://www.google.com/maps/place/Gin%C3%A1sio+Linneu+de+Moura/data=!4m7!3m6!1s0x94cc4a15a6dec46d:0x240d7b6675e0f186!8m2!3d-23.1901337!4d-45.8865026!16s%2Fg%2F11bbrjvfx6!19sChIJbcTephVKzJQRhvHgdWZ7DSQ?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
Clube de Campo Sindicato dos Bancários de SJC,+55 12 3943-0660,551239430660,sim,sjcbancarios.com.br,Clube de campo,clube de campo,São José dos Campos,"Tv. das Piabas - Rio Abaixo, São José dos Campos - SP, 12213-000, Brasil","4,5",45,Fechado · Abre ter. às 09:00,https://www.google.com/maps/place/Clube+de+Campo+Sindicato+dos+Banc%C3%A1rios+de+SJC/data=!4m7!3m6!1s0x94cc49eab720db2d:0xb402e52af5bfbb44!8m2!3d-23.1554959!4d-45.8854203!16s%2Fg%2F11c20b3m3z!19sChIJLdsgt-pJzJQRRLu_9SrlArQ?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
Clube de Campo ASSEM,+55 12 3922-7424,551239227424,sim,assem.com.br,Clube de campo,clube de campo,São José dos Campos,"Estr. Mun. Nelson Tavares da Silva, 3001 - Bom Retiro, São José dos Campos - SP, 12226-205, Brasil","4,5",45,Fechado · Abre qua. às 09:00,https://www.google.com/maps/place/Clube+de+Campo+ASSEM/data=!4m7!3m6!1s0x94cc4d4d4484e27f:0xf9a67400cb912625!8m2!3d-23.2011951!4d-45.7671468!16s%2Fg%2F12llq1pvp!19sChIJf-KERE1NzJQRJSaRywB0pvk?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
ADC INPE,+55 12 3208-6942,551232086942,sim,adcinpe.com.br,Clube,adc,São José dos Campos,"Av. dos Astronautas - Campus do CTA, São José dos Campos - SP, 12227-010, Brasil","4,5",45,,https://www.google.com/maps/place/ADC+INPE/data=!4m7!3m6!1s0x94cc4b0515bb810b:0xbd8d05cbfd30ae95!8m2!3d-23.2094707!4d-45.8578948!16s%2Fg%2F1tj74qhy!19sChIJC4G7FQVLzJQRla4w_csFjb0?authuser=0&hl=pt-BR&rclk=1,Google Maps público,ADC São José dos Campos - SP
Clube dos Empregados da Petrobras - CEPE,+55 12 98129-7357,5512981297357,sim,m.facebook.com,Clube recreativo,clube de campo,São José dos Campos,"Rod. Pres. Dutra, Km 145 - São José dos Campos, SP, 12224-300, Brasil","4,4",44,Fechado · Abre qua. às 10:00,https://www.google.com/maps/place/Clube+dos+Empregados+da+Petrobras+-+CEPE/data=!4m7!3m6!1s0x94cc4a626107ff97:0x6a4ec216e4f52254!8m2!3d-23.186647!4d-45.8511476!16s%2Fg%2F11b6hhc1hn!19sChIJl_8HYWJKzJQRVCL15BbCTmo?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
ADC Embraer EGM - Associação Desportiva Classista Embraer,+55 12 2136-2137,551221362137,sim,adcembraer.com.br,Organização de serviço social,associação desportiva classista,São José dos Campos,"Unnamed Road, São José dos Campos - SP, Brasil","4,4",44,Aberto · Fecha 20:00,https://www.google.com/maps/place/ADC+Embraer+EGM+-+Associa%C3%A7%C3%A3o+Desportiva+Classista+Embraer/data=!4m7!3m6!1s0x94cc4de52bf7e983:0xef867598d8bfbd9d!8m2!3d-23.1305159!4d-45.7635511!16s%2Fg%2F11c2qs9_t4!19sChIJg-n3K-VNzJQRnb2_2Jh1hu8?authuser=0&hl=pt-BR&rclk=1,Google Maps público,associação desportiva classista São José dos Campos - SP
Tênis Clube São José,+55 12 98152-0691,5512981520691,sim,tenisclubesaojose.com.br,Tênis Clube,clube de campo,São José dos Campos,"Av. Nove de Julho, 23 - Vila Adyana, São José dos Campos - SP, 12243-000, Brasil","4,3",43,Aberto · Fecha 22:30,https://www.google.com/maps/place/T%C3%AAnis+Clube+S%C3%A3o+Jos%C3%A9/data=!4m7!3m6!1s0x94cc4a1250b468ab:0xd6ab1457f1943107!8m2!3d-23.192728!4d-45.892854!16zL20vMGJtcnp6!19sChIJq2i0UBJKzJQRBzGU8VcUq9Y?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
GOAL Mais,+55 12 98149-7665,5512981497665,sim,instagram.com,Clube esportivo,clube social,São José dos Campos,"R. José Cobra, 140 - Palmeiras de São José, São José dos Campos - SP, 12237-821, Brasil","4,3",43,Aberto · Fecha 22:00,https://www.google.com/maps/place/GOAL+Mais/data=!4m7!3m6!1s0x94cc3568819cbc8d:0x5130c4a5a76c855c!8m2!3d-23.2386466!4d-45.9105114!16s%2Fg%2F11spzn1pbh!19sChIJjbycgWg1zJQRXIVsp6XEMFE?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube social São José dos Campos - SP
Clube de Campo Luso Brasileiro - São Jose Dos Campos,+55 12 3923-4699,551239234699,sim,clubeluso.com.br,Clube de campo,clube de campo,São José dos Campos,"Estrada Municipal, Estr. Pedro Moacir de Almeida, s/n - Km 5 - Alto da Ponte, São José dos Campos - SP, Brasil","4,3",43,,https://www.google.com/maps/place/Clube+de+Campo+Luso+Brasileiro+-+S%C3%A3o+Jose+Dos+Campos/data=!4m7!3m6!1s0x94cc48c43bde00c9:0x618e1be2b47f07bb!8m2!3d-23.1248056!4d-45.8653574!16s%2Fg%2F11cn2vvy4r!19sChIJyQDeO8RIzJQRuwd_tOIbjmE?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
Associação Sabesp,+55 12 3949-1153,551239491153,sim,associacaosabesp.com.br,Clube,clube de campo,São José dos Campos,"Av. Linneu de Moura, 100 - Condomínio Chácara dos Eucaliptos, São José dos Campos - SP, 12244-380, Brasil","4,3",43,Fechado · Abre ter. às 09:00,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Sabesp/data=!4m7!3m6!1s0x94cc35edf3c98f47:0xe038a7d2aa9c6738!8m2!3d-23.1874332!4d-45.9192619!16s%2Fg%2F1tkvbwcb!19sChIJR4_J8-01zJQROGecqtKnOOA?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
Rotary Club São José dos Campos Leste,+55 12 3949-1077,551239491077,sim,facebook.com,Organização de serviço social,clube social,São José dos Campos,"Av. Dep. Benedito Matarazzo, 9009 - Jardim Oswaldo Cruz, São José dos Campos - SP, 12216-550, Brasil","3,0",30,Fechado · Abre sex. às 12:00,https://www.google.com/maps/place/Rotary+Club+S%C3%A3o+Jos%C3%A9+dos+Campos+Leste/data=!4m7!3m6!1s0x94cc4a5d0424231f:0x478497f03f041abd!8m2!3d-23.2027933!4d-45.8830771!16s%2Fg%2F11g9qv7sym!19sChIJHyMkBF1KzJQRvRoEP_CXhEc?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube social São José dos Campos - SP
Projeto Social Esportivo Galo Branco,+55 12 99135-8147,5512991358147,sim,,Clube de futebol,clube social,São José dos Campos,"Res. Galo Branco, São José dos Campos - SP, 12247-820, Brasil","5,0",50,,https://www.google.com/maps/place/Projeto+Social+Esportivo+Galo+Branco/data=!4m7!3m6!1s0x94cc4d52127fa729:0xc01ab0d03746b281!8m2!3d-23.1364448!4d-45.7640587!16s%2Fg%2F11gnrsfly_!19sChIJKad_ElJNzJQRgbJGN9CwGsA?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube social São José dos Campos - SP
Escola de futebol Soccerclub,+55 12 98112-5020,5512981125020,sim,,Clube,clube social,São José dos Campos,"R. Dr. João Gomes Batista Neto - Jardim Paraiso do Sol, São José dos Campos - SP, 12225-190, Brasil","5,0",50,Aberto 24 horas,https://www.google.com/maps/place/Escola+de+futebol+Soccerclub/data=!4m7!3m6!1s0x94cc4d4f95383a53:0x45415c32cdcb6eef!8m2!3d-23.1838847!4d-45.7970153!16s%2Fg%2F11v3lhhf91!19sChIJUzo4lU9NzJQR727LzTJcQUU?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube social São José dos Campos - SP
Centro de Formação de Atletas Athletico Paranaense São José dos Campos,+55 12 98100-2783,5512981002783,sim,,Clube de futebol,clube de campo,São José dos Campos,"Rod. Pres. Dutra, Km 145 - Jardim Diamante, São José dos Campos - SP, 12224-300, Brasil","4,9",49,Aberto · Fecha 17:00,https://www.google.com/maps/place/Centro+de+Forma%C3%A7%C3%A3o+de+Atletas+Athletico+Paranaense+S%C3%A3o+Jos%C3%A9+dos+Campos/data=!4m7!3m6!1s0x94cc4bd18e1843eb:0x8447d784d8cd28a2!8m2!3d-23.1865188!4d-45.8514044!16s%2Fg%2F11gjv_tlm1!19sChIJ60MYjtFLzJQRoijN2ITXR4Q?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
Grêmio Esportivo Jardim das Indústrias,+55 12 3931-7863,551239317863,sim,,Ginásio poliesportivo,clube recreativo,São José dos Campos,"R. dos Amores-Perfeitos, 63 - Jardim das Industrias, São José dos Campos - SP, 12240-150, Brasil","4,6",46,,https://www.google.com/maps/place/Gr%C3%AAmio+Esportivo+Jardim+das+Ind%C3%BAstrias/data=!4m7!3m6!1s0x94cc357145b09321:0x826a5389923c2484!8m2!3d-23.2280826!4d-45.9179917!16s%2Fg%2F1ydnqg6t2!19sChIJIZOwRXE1zJQRhCQ8kolTaoI?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube recreativo São José dos Campos - SP
Grupo Nova Era,+55 12 99660-6619,5512996606619,sim,,Club,clube social,São José dos Campos,"Av. Vinte e Três de Maio, 950 - Vila Maria, São José dos Campos - SP, 12209-410, Brasil","4,5",45,Aberto · Fecha 17:00,https://www.google.com/maps/place/Grupo+Nova+Era/data=!4m7!3m6!1s0x94cc4a25835da441:0x7f8dbbae8a521907!8m2!3d-23.1770553!4d-45.8760185!16s%2Fg%2F1td_68zs!19sChIJQaRdgyVKzJQRBxlSiq67jX8?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube social São José dos Campos - SP
Clube ARRAVV VISTA,+55 12 3929-8135,551239298135,sim,,Clube de campo,clube de campo,São José dos Campos,"R. Barbados, 113 - Vista Verde, São José dos Campos - SP, 12223-820, Brasil","4,5",45,Fechado · Abre ter. às 10:00,https://www.google.com/maps/place/Clube+ARRAVV+VISTA/data=!4m7!3m6!1s0x94cc4b886983bd61:0x2023c5f6930a5bf6!8m2!3d-23.180808!4d-45.82933!16s%2Fg%2F11c1369r8r!19sChIJYb2DaYhLzJQR9lsKk_bFIyA?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
Associação Desportiva Classita-Embraer,+55 12 3944-1228,551239441228,sim,,Associação / organização,associação desportiva classista,São José dos Campos,"Rod. dos Tamoios, s/n - Km 65 - Vila Letonia, São José dos Campos - SP, 12231-200, Brasil","4,5",45,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Desportiva+Classita-Embraer/data=!4m7!3m6!1s0x94cdb52a8a061a91:0x87eb87c5e2122329!8m2!3d-23.2447983!4d-45.8668816!16s%2Fg%2F11b6hsdg35!19sChIJkRoGiiq1zZQRKSMS4sWH64c?authuser=0&hl=pt-BR&rclk=1,Google Maps público,associação desportiva classista São José dos Campos - SP
Clube dos Sargentos,+55 12 3947-3141,551239473141,sim,,Clube recreativo,clube recreativo,São José dos Campos,"Campus do CTA, São José dos Campos - SP, 12228-700, Brasil","4,4",44,Aberto · Fecha 17:30,https://www.google.com/maps/place/Clube+dos+Sargentos/data=!4m7!3m6!1s0x94cc4aff897d2ad7:0x4e7dd91b4a904bdb!8m2!3d-23.2050465!4d-45.8674491!16s%2Fg%2F1ydkbdnj9!19sChIJ1yp9if9KzJQR20uQShvZfU4?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube recreativo São José dos Campos - SP
AABB São José dos Campos,+55 12 98121-0559,5512981210559,sim,,Associação / organização,clube de campo,São José dos Campos,"Estrada Doutor Bezerra de Menezes, 1549 Torrão de Ouro II, São José dos Campos - SP, 12229-380, Brasil","4,4",44,,https://www.google.com/maps/place/AABB+S%C3%A3o+Jos%C3%A9+dos+Campos/data=!4m7!3m6!1s0x94cc4a18d66d9607:0x520fda742ab39484!8m2!3d-23.2643711!4d-45.8555454!16s%2Fg%2F1tctgqkw!19sChIJB5Zt1hhKzJQRhJSzKnTaD1I?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
Clube Desportivo Recreativo São José,+55 11 98564-0100,5511985640100,sim,,Cancha de bocha,clube recreativo,São José dos Campos,"Rua Dom Lucas Obes, 478 - Ipiranga, São Paulo - SP, 04212-020, Brasil","3,0",30,Aberto · Fecha 22:00,https://www.google.com/maps/place/Clube+Desportivo+Recreativo+S%C3%A3o+Jos%C3%A9/data=!4m7!3m6!1s0x94ce5ba4334ae621:0x76734d867c9978bb!8m2!3d-23.5894618!4d-46.6024675!16s%2Fg%2F11tx6_f6ww!19sChIJIeZKM6RbzpQRu3iZfIZNc3Y?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube recreativo São José dos Campos - SP
Projeto Social Clube da Criança e do Adolecente,+55 12 99738-6554,5512997386554,sim,,Associação de apoio aos alunos,clube social,São José dos Campos,"Av. Dantas Luiz do Prado - Campos de São José, São José dos Campos - SP, 12226-553, Brasil",,,,https://www.google.com/maps/place/Projeto+Social+Clube+da+Crian%C3%A7a+e+do+Adolecente/data=!4m7!3m6!1s0x94cc4defc610a11b:0xe154603eb85c8a2a!8m2!3d-23.2119162!4d-45.8115554!16s%2Fg%2F11jlg86nhb!19sChIJG6EQxu9NzJQRKopcuD5gVOE?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube social São José dos Campos - SP
Grêmio Recreativo Nestlé de Caçapava,,,,nestle.com.br,Clube,clube recreativo,São José dos Campos,"R. Dr. José de Moura Resende, 1309 - Vera Cruz, Caçapava - SP, 12286-010, Brasil","4,4",44,Aberto · Fecha 22:00,https://www.google.com/maps/place/Gr%C3%AAmio+Recreativo+Nestl%C3%A9+de+Ca%C3%A7apava/data=!4m7!3m6!1s0x94cc5184b642ba2f:0xcd41f3c07afdba50!8m2!3d-23.1082332!4d-45.7210129!16s%2Fg%2F1tdnm740!19sChIJL7pCtoRRzJQRULr9esDzQc0?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube recreativo São José dos Campos - SP
